City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cabo San Lucas,MX,22.8909,-109.9124,84.4,55,81,3.53,broken clouds
Cape Town,ZA,-33.9258,18.4232,64.11,73,20,1.01,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,64.09,58,0,3.0,clear sky
Kodiak,US,57.79,-152.4072,45.91,81,90,5.75,overcast clouds
Newcastleton,GB,55.1796,-2.8127,71.24,52,40,7.96,scattered clouds
Port Elizabeth,ZA,-33.918,25.5701,62.89,77,0,18.41,clear sky
Ust-Tsilma,RU,65.441,52.1498,44.6,45,100,11.05,overcast clouds
Fortuna,US,40.5982,-124.1573,53.94,89,56,3.87,broken clouds
Airai,TL,-8.9266,125.4092,59.99,94,93,2.39,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,9.22,overcast clouds
Souillac,MU,-20.5167,57.5167,70.18,94,75,11.03,light rain
Bojnurd,IR,37.4747,57.329,87.75,27,20,6.91,few clouds
Zeya,RU,53.75,127.2667,55.04,68,98,5.77,overcast clouds
Sharjah,AE,25.3573,55.4033,102.36,34,0,6.35,clear sky
Poronaysk,RU,49.2167,143.1167,38.89,92,3,5.1,clear sky
Etchoropo,MX,26.7667,-109.6667,81.54,49,0,8.34,clear sky
Baykit,RU,61.67,96.37,57.0,55,38,4.72,scattered clouds
Mattru,SL,7.6244,-11.8332,91.87,50,66,4.94,broken clouds
Touros,BR,-5.1989,-35.4608,85.1,56,2,14.88,clear sky
Tete,MZ,-16.1564,33.5867,87.89,43,40,8.01,scattered clouds
Sitka,US,57.0531,-135.33,49.89,87,90,4.61,overcast clouds
Dovolnoye,RU,54.4958,79.6671,67.46,71,100,8.43,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,70.2,79,98,14.61,moderate rain
Clyde River,CA,70.4692,-68.5914,25.03,100,90,0.0,overcast clouds
Carlisle,US,40.2015,-77.1889,74.62,62,94,3.62,overcast clouds
Talnakh,RU,69.4865,88.3972,32.45,96,100,4.94,overcast clouds
Tocopilla,CL,-22.092,-70.1979,68.94,65,76,4.25,broken clouds
Yar-Sale,RU,66.8333,70.8333,42.66,86,100,20.29,light rain
Preobrazheniye,RU,42.9019,133.9064,52.14,98,100,4.14,overcast clouds
Garowe,SO,8.4054,48.4845,85.95,44,92,18.52,overcast clouds
Thompson,CA,55.7435,-97.8558,46.56,66,75,6.91,broken clouds
San Patricio,US,28.017,-97.5169,75.29,74,97,9.89,light rain
Kahului,US,20.8947,-156.47,79.84,79,1,0.0,clear sky
Billings,US,45.7833,-108.5007,67.51,54,71,5.01,broken clouds
Barrow,US,71.2906,-156.7887,28.42,86,90,17.27,overcast clouds
Leshukonskoye,RU,64.8989,45.7622,47.59,38,68,11.16,broken clouds
Port Lincoln,AU,-34.7333,135.8667,60.87,70,100,5.46,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,49.91,66,94,6.91,overcast clouds
Avera,US,33.194,-82.5271,77.94,47,90,7.72,overcast clouds
Mitu,CO,1.1983,-70.1733,83.53,63,89,3.94,light rain
Atambua,ID,-9.1061,124.8925,73.11,89,67,3.42,broken clouds
Dikson,RU,73.5069,80.5464,32.16,98,100,10.38,overcast clouds
Polyarnyy,RU,69.1989,33.4478,54.07,81,100,13.24,overcast clouds
Msanga,TZ,-6.05,36.0333,76.32,42,52,10.36,broken clouds
Fuzhou,CN,26.0614,119.3061,75.09,97,94,1.63,light rain
Kapaa,US,22.0752,-159.319,73.38,77,54,6.02,broken clouds
Sao Miguel,BR,-5.4667,-35.3667,86.32,58,8,15.03,clear sky
Koungou,YT,-12.7336,45.2042,80.31,74,0,4.68,clear sky
Sibolga,ID,1.7427,98.7792,78.48,84,91,2.95,overcast clouds
College,US,64.8569,-147.8028,54.59,87,90,6.91,light rain
Asau,RO,46.4333,26.4,53.76,91,100,5.41,light rain
Haines Junction,CA,60.7522,-137.5108,49.95,66,96,5.75,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,71.13,60,60,3.11,broken clouds
Jacmel,HT,18.2342,-72.5347,83.84,65,99,5.12,overcast clouds
Butwal,NP,27.7006,83.4484,82.81,70,49,4.34,scattered clouds
Misratah,LY,32.3754,15.0925,76.71,57,56,15.41,broken clouds
Nanortalik,GL,60.1432,-45.2371,41.59,75,91,2.71,overcast clouds
Encheng,CN,22.1839,112.3026,81.16,91,100,1.7,light rain
Dunyapur,PK,29.7995,71.7196,101.68,22,0,7.43,clear sky
Acarau,BR,-2.8856,-40.12,86.16,62,9,10.02,clear sky
Tasiilaq,GL,65.6145,-37.6368,36.68,65,40,3.18,scattered clouds
Dzilam Gonzalez,MX,21.2833,-88.9333,86.32,57,75,5.14,broken clouds
Dessau,DE,51.8386,12.2456,77.18,60,100,8.05,overcast clouds
Valdivia,CL,-39.8142,-73.2459,57.29,93,100,3.87,overcast clouds
Rio Gallegos,AR,-51.6226,-69.2181,26.65,93,75,6.91,broken clouds
Pevek,RU,69.7008,170.3133,34.2,69,10,2.89,clear sky
Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,11.5,broken clouds
Iqaluit,CA,63.7506,-68.5145,31.73,100,90,8.99,snow
Tarakan,ID,3.3,117.6333,80.91,81,100,6.62,light rain
Harper,LR,4.375,-7.7169,82.0,76,100,7.31,light rain
Aleksandrovka,UA,46.8383,32.7612,53.82,88,100,18.34,overcast clouds
Dromolaxia,CY,34.8761,33.586,85.24,53,20,20.71,few clouds
Kemise,ET,10.7167,39.8667,85.82,19,13,11.5,few clouds
Port Hardy,CA,50.6996,-127.4199,55.58,94,75,0.0,broken clouds
Trinidad,BO,-14.8333,-64.9,73.38,73,87,0.0,overcast clouds
Saint George,US,37.1041,-113.5841,85.35,19,1,4.61,clear sky
Hamilton,US,39.1834,-84.5333,71.19,68,90,3.89,overcast clouds
Upernavik,GL,72.7868,-56.1549,31.42,83,73,2.04,broken clouds
Ilulissat,GL,69.2167,-51.1,35.89,77,31,5.26,scattered clouds
Minot,US,48.2325,-101.2963,70.81,51,28,5.66,scattered clouds
Bolobo,CD,-2.1667,16.2333,89.73,41,97,2.28,overcast clouds
Lagoa,PT,39.05,-27.9833,59.25,58,59,15.19,broken clouds
Boa Vista,BR,2.8197,-60.6733,76.98,88,90,8.05,light rain
Verkhoyansk,RU,67.5447,133.385,53.44,66,11,4.16,few clouds
Moose Factory,CA,51.2585,-80.6094,62.6,77,1,5.75,clear sky
Leningradskiy,RU,69.3833,178.4167,26.87,91,62,12.84,broken clouds
Cam Ranh,VN,11.9214,109.1591,85.96,66,20,5.08,few clouds
Letlhakane,BW,-21.4167,25.5833,74.77,21,2,10.33,clear sky
Lasa,IT,46.6166,10.7002,76.08,48,32,0.51,scattered clouds
Manono,CD,-7.3,27.4167,89.2,33,26,2.08,scattered clouds
Beidao,CN,34.5686,105.8933,66.67,61,99,4.85,overcast clouds
Havoysund,NO,70.9963,24.6622,50.88,98,100,18.28,overcast clouds
Bahia Blanca,AR,-38.7196,-62.2724,64.35,53,100,16.73,moderate rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,73,95,9.4,overcast clouds
Qaanaaq,GL,77.484,-69.3632,31.8,85,100,4.07,overcast clouds
Bathsheba,BB,13.2167,-59.5167,86.61,51,40,13.87,scattered clouds
Tura,IN,25.5198,90.2201,74.32,93,90,3.98,overcast clouds
Imbituba,BR,-28.24,-48.6703,66.09,61,0,3.13,clear sky
Bambous Virieux,MU,-20.3428,57.7575,70.05,94,75,10.16,moderate rain
Vanavara,RU,60.34,102.2797,55.4,55,10,4.72,clear sky
Esperance,AU,-33.8667,121.9,53.44,73,92,8.77,overcast clouds
Cidreira,BR,-30.1811,-50.2056,64.26,47,5,6.08,clear sky
Yumen,CN,40.2833,97.2,69.35,10,100,12.12,overcast clouds
Port-De-Bouc,FR,43.4,4.9833,80.76,44,0,15.19,clear sky
Whitstable,GB,51.3607,1.0257,76.48,69,1,12.12,clear sky
Niquelandia,BR,-14.4739,-48.4597,89.55,24,15,6.67,few clouds
Isangel,VU,-19.55,169.2667,70.83,65,48,9.64,scattered clouds
Turukhansk,RU,65.8167,87.9833,37.62,82,94,7.14,overcast clouds
Honningsvag,NO,70.9821,25.9704,46.15,81,75,19.57,broken clouds
Dingle,PH,10.9995,122.6711,77.27,92,100,7.07,moderate rain
Saint-Augustin,CA,51.226,-58.6502,45.0,97,100,3.29,overcast clouds
Maridi,SS,4.9158,29.4742,84.34,69,100,3.6,overcast clouds
Piotrkow Trybunalski,PL,51.4055,19.7032,64.92,69,95,4.0,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,44.73,41,67,5.95,broken clouds
Baglung,NP,28.2719,83.5898,69.42,86,30,3.67,scattered clouds
Urumqi,CN,43.801,87.6005,81.55,18,0,5.95,clear sky
Ellisras,ZA,-23.6649,27.7443,69.49,44,92,11.5,overcast clouds
Baykalovo,RU,57.3981,63.7684,57.87,49,87,1.19,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,84.56,66,86,0.58,overcast clouds
Sendhwa,IN,21.6833,75.1,88.63,44,29,13.44,scattered clouds
Dhrangadhra,IN,22.9833,71.4667,91.38,50,0,20.78,clear sky
Port Blair,IN,11.6667,92.75,83.79,76,17,4.79,few clouds
Wanaka,NZ,-44.7,169.15,42.84,75,85,5.23,overcast clouds
Ancud,CL,-41.8697,-73.8203,49.42,77,30,6.22,scattered clouds
Vostok,RU,46.4856,135.8833,49.62,94,100,3.51,light rain
San Vicente,AR,-26.6167,-54.1333,72.14,41,0,3.67,clear sky
Vao,NC,-22.6667,167.4833,68.77,61,100,13.11,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,44.35,89,76,5.32,broken clouds
Snyder,US,32.7179,-100.9176,67.51,77,1,0.0,clear sky
Jaragua,BR,-15.7569,-49.3344,84.42,28,46,1.3,scattered clouds
Sechura,PE,-5.5569,-80.8222,71.82,70,100,11.18,overcast clouds
Klaksvik,FO,62.2266,-6.589,49.12,79,100,23.94,overcast clouds
Hilo,US,19.7297,-155.09,73.8,90,90,5.75,overcast clouds
Grand-Lahou,CI,5.1367,-5.0242,83.8,70,100,8.37,overcast clouds
Mangrol,IN,21.1167,70.1167,83.89,81,5,13.58,clear sky
Shingu,JP,33.7333,135.9833,66.9,94,56,5.19,broken clouds
Marsa Matruh,EG,31.3525,27.2453,80.8,50,0,11.5,clear sky
Dali,CN,25.7,100.1833,65.43,80,20,5.55,few clouds
Alberton,CA,46.8168,-64.0654,53.73,86,100,10.18,overcast clouds
Knysna,ZA,-34.0363,23.0471,61.18,71,9,7.92,clear sky
Bilgoraj,PL,50.5411,22.722,64.36,46,76,6.46,broken clouds
Dunedin,NZ,-45.8742,170.5036,50.81,58,92,1.01,overcast clouds
Celestun,MX,20.8667,-90.4,83.34,64,100,9.46,overcast clouds
Abay,KZ,49.6311,72.8539,80.98,62,56,14.97,broken clouds
Alegrete,BR,-29.7831,-55.7919,63.97,46,16,5.64,light rain
Butaritari,KI,3.0707,172.7902,82.26,82,69,16.89,light rain
Jaguarao,BR,-32.5661,-53.3758,63.14,56,60,11.83,broken clouds
Maniitsoq,GL,65.4167,-52.9,38.01,79,44,7.0,scattered clouds
Port Shepstone,ZA,-30.7414,30.455,63.73,57,100,13.94,overcast clouds
Jiangyou,CN,31.7667,104.7167,73.85,65,93,1.74,light rain
Bereda,ES,43.2686,-7.5406,73.15,54,10,7.78,clear sky
Glendive,US,47.1053,-104.7125,70.95,40,5,5.82,clear sky
Dhidhdhoo,MV,6.8833,73.1,83.23,73,20,18.19,few clouds
Lata,PT,40.1629,-8.3327,65.91,58,89,7.74,overcast clouds
Kijang,KR,35.2442,129.2139,69.53,64,100,0.78,overcast clouds
Georgetown,MY,5.4112,100.3354,83.95,86,20,3.44,few clouds
Minab,IR,27.1467,57.0801,99.9,32,0,4.0,clear sky
Wanning,CN,18.8003,110.3967,83.17,91,100,10.36,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,83.16,72,28,17.52,scattered clouds
High Level,CA,58.5169,-117.136,62.71,63,75,6.38,broken clouds
Chokurdakh,RU,70.6333,147.9167,54.1,50,8,8.25,clear sky
Suriapet,IN,17.15,79.6167,95.49,38,67,3.96,broken clouds
Agadir,MA,30.4202,-9.5982,79.25,50,6,10.2,clear sky
Alugan,PH,12.2188,125.4808,82.15,83,88,19.62,overcast clouds
Saskylakh,RU,71.9167,114.0833,35.8,82,100,1.9,overcast clouds
Oranjemund,NA,-28.55,16.4333,64.56,49,0,13.76,clear sky
Alyangula,AU,-13.8483,136.4192,78.67,73,90,9.4,overcast clouds
Ananas,HT,19.2466,-71.9557,77.07,62,100,2.08,overcast clouds
Gold Coast,AU,-28.0,153.4333,57.99,93,62,1.01,broken clouds
Namibe,AO,-15.1961,12.1522,79.43,78,20,17.27,few clouds
Cayenne,GF,4.9333,-52.3333,82.44,84,75,4.0,broken clouds
Lorengau,PG,-2.0226,147.2712,78.69,85,100,2.84,overcast clouds
Moron,AR,-34.6534,-58.6198,64.78,51,89,5.99,overcast clouds
Zhicheng,CN,30.2956,111.5047,81.77,77,95,4.38,light rain
Bethel,US,41.3712,-73.414,71.1,68,1,0.0,clear sky
Takoradi,GH,4.8845,-1.7554,82.42,72,99,9.86,overcast clouds
Avarua,CK,-21.2078,-159.775,66.25,94,40,2.3,scattered clouds
East London,ZA,-33.0153,27.9116,63.54,72,20,16.11,light rain
Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,20,10.36,few clouds
Fushun,CN,41.8558,123.9233,65.91,86,93,7.31,overcast clouds
Gorom-Gorom,BF,14.4439,-0.2361,108.88,12,7,6.42,clear sky
Barabinsk,RU,55.3571,78.357,55.8,86,85,13.85,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,11.5,scattered clouds
Bera,BD,24.0833,89.6167,84.4,80,83,11.95,broken clouds
Kholtoson,RU,50.2981,103.3097,40.01,68,100,4.65,overcast clouds
Meulaboh,ID,4.1363,96.1285,78.87,87,100,2.89,overcast clouds
Choctaw,US,35.4976,-97.2689,59.5,97,90,5.01,mist
Zhanaozen,KZ,43.3,52.8,89.89,22,0,1.57,clear sky
San Andres,CO,12.5847,-81.7006,86.02,70,40,13.8,scattered clouds
Beloha,MG,-25.1667,45.05,66.56,78,99,13.96,overcast clouds
Lebu,CL,-37.6167,-73.65,57.29,98,100,7.07,moderate rain
Beckley,US,37.7782,-81.1882,68.7,68,99,6.06,overcast clouds
At-Bashi,KG,41.1702,75.8106,58.59,60,98,3.31,overcast clouds
Stavern,NO,59.0,10.0333,76.32,60,100,6.17,overcast clouds
Bengkulu,ID,-3.8004,102.2655,77.09,90,91,5.37,overcast clouds
Keti Bandar,PK,24.1447,67.4497,84.65,84,0,20.15,clear sky
Brandon,US,27.9378,-82.2859,85.86,66,1,1.01,clear sky
Iralaya,HN,15.0,-83.2333,84.29,65,57,12.48,broken clouds
Vila Velha,BR,-20.3297,-40.2925,82.96,66,75,8.99,broken clouds
Te Anau,NZ,-45.4167,167.7167,44.85,89,100,4.5,overcast clouds
Naze,JP,28.3667,129.4833,71.35,77,54,17.0,broken clouds
Brzeg,PL,50.8608,17.4674,67.71,73,93,7.92,overcast clouds
Winnemucca,US,40.973,-117.7357,72.54,29,31,2.66,scattered clouds
Srednekolymsk,RU,67.45,153.6833,54.39,40,84,1.19,broken clouds
Tongren,CN,27.7172,109.1853,74.03,88,99,1.1,overcast clouds
Kjopsvik,NO,68.097,16.3742,67.87,48,0,2.39,clear sky
Salalah,OM,17.0151,54.0924,83.17,77,100,10.11,overcast clouds
Khor,RU,47.8861,134.9464,53.91,93,100,4.72,moderate rain
Walvis Bay,NA,-22.9575,14.5053,76.15,31,0,16.06,clear sky
Yining,CN,29.0361,114.5636,75.72,88,40,1.59,scattered clouds
Victoria,HK,22.2855,114.1577,81.95,93,100,8.99,moderate rain
Charlottesville,US,38.0293,-78.4767,76.6,71,100,5.01,overcast clouds
Poso,ID,-1.3959,120.7524,77.76,88,100,4.56,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,85.62,65,100,1.19,overcast clouds
Manta,EC,-0.95,-80.7333,76.78,78,75,10.36,broken clouds
Vryburg,ZA,-26.9566,24.7284,57.33,24,0,12.19,clear sky
Vallenar,CL,-28.5708,-70.7581,82.18,10,14,2.84,few clouds
Coquimbo,CL,-29.9533,-71.3436,53.33,100,75,4.76,broken clouds
Riesa,DE,51.3,13.3,76.59,63,99,6.24,overcast clouds
Vanimo,PG,-2.6741,141.3028,75.61,91,100,5.95,overcast clouds
Pisco,PE,-13.7,-76.2167,66.02,77,90,9.22,overcast clouds
Manica,FR,49.0,-1.1667,80.01,42,100,5.99,overcast clouds
Bodden Town,KY,19.2833,-81.25,86.94,56,20,4.0,few clouds
Shar,KZ,49.5886,81.0453,71.62,54,71,14.0,light rain
Tessalit,ML,20.1986,1.0114,109.76,4,3,7.2,clear sky
Gomel,BY,52.4345,30.9754,62.58,29,0,9.1,clear sky
Chazuta,PE,-6.5742,-76.1367,77.85,66,89,0.22,overcast clouds
Ozernovskiy,RU,51.5,156.5167,39.87,91,100,4.07,overcast clouds
Kununurra,AU,-15.7667,128.7333,69.78,78,43,0.0,scattered clouds
Veinticinco De Mayo,AR,-35.4323,-60.1727,58.98,63,92,7.0,light rain
Athabasca,CA,54.7169,-113.2854,62.29,66,100,9.73,overcast clouds
Lumby,CA,50.2498,-118.969,71.56,75,100,1.74,overcast clouds
Koutsouras,GR,35.0339,25.9469,72.19,57,15,5.91,few clouds
Xingyi,CN,24.1877,102.817,65.55,87,48,4.45,scattered clouds
Sibu,MY,2.3,111.8167,79.11,89,40,0.74,scattered clouds
Caranavi,BO,-15.8167,-67.55,69.13,81,92,2.93,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,52.25,81,75,4.0,fog
Keetmanshoop,NA,-26.5833,18.1333,59.92,36,0,5.75,clear sky
Adrar,MR,20.5022,-10.0711,103.64,16,59,5.23,broken clouds
Kidal,ML,18.4411,1.4078,108.27,4,54,4.25,broken clouds
Abu Samrah,SY,35.3029,37.1841,80.87,23,0,20.62,clear sky
San Juan,AR,-31.5375,-68.5364,67.24,27,80,3.49,moderate rain
Cunha,BR,-23.0744,-44.9597,67.42,63,29,1.92,scattered clouds
Cap Malheureux,MU,-19.9842,57.6142,70.29,80,98,14.7,moderate rain
Alta Floresta,BR,-9.8756,-56.0861,89.42,55,0,6.91,clear sky
Sakaiminato,JP,35.55,133.2333,66.18,88,75,2.3,broken clouds
Erdenet,MN,49.0333,104.0833,39.58,54,100,8.03,moderate rain
Tabou,CI,4.423,-7.3528,82.18,76,100,8.79,light rain
Makakilo City,US,21.3469,-158.0858,75.29,82,1,3.44,clear sky
Ouango,CF,4.3133,22.5552,87.01,54,100,4.92,overcast clouds
Watsa,CD,3.0372,29.5355,81.95,64,100,3.27,overcast clouds
Kavaratti,IN,10.5669,72.642,83.91,75,100,20.47,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,58.89,75,29,16.35,scattered clouds
Maiduguri,NG,11.8464,13.1603,103.75,18,38,6.38,scattered clouds
Vilyuysk,RU,63.7553,121.6247,54.01,54,100,0.56,overcast clouds
Buala,SB,-8.145,159.5921,80.4,86,97,7.34,light rain
Tyup,KG,42.7276,78.3648,58.5,58,28,2.01,scattered clouds
Margate,GB,51.3813,1.3862,74.1,74,0,13.4,clear sky
Maromitsa,RU,59.8683,48.0123,54.75,62,97,9.15,overcast clouds
Cooma,AU,-36.2333,149.1333,40.77,75,90,2.13,light rain
Calvinia,ZA,-31.4707,19.776,56.61,40,0,4.41,clear sky
Muroto,JP,33.2833,134.15,69.19,85,75,6.62,broken clouds
Tanout,NE,14.9709,8.8879,106.02,5,39,3.24,scattered clouds
Berdigestyakh,RU,62.0989,126.6992,45.16,93,24,3.27,few clouds
Manokwari,ID,-0.8667,134.0833,78.8,82,86,3.47,overcast clouds
El Sauzal,MX,31.9,-116.6833,59.41,87,45,2.13,scattered clouds
Jumla,NP,29.2747,82.1838,57.49,93,95,0.81,overcast clouds
Youghal,IE,51.95,-7.8506,67.68,77,9,10.07,clear sky
Narsaq,GL,60.9167,-46.05,48.33,45,28,3.6,scattered clouds
Caravelas,BR,-17.7125,-39.2481,82.42,57,5,6.24,clear sky
Kota Kinabalu,MY,5.9749,116.0724,78.78,89,20,5.75,few clouds
Polunochnoye,RU,60.8697,60.4153,56.44,40,79,6.98,broken clouds
Camopi,GF,3.1655,-52.3158,78.3,91,96,1.19,overcast clouds
Tres Picos,MX,15.8667,-93.5333,85.68,65,61,1.23,broken clouds
